Model,Target,N_Features,CV_R2_Mean,CV_R2_Std,Train_R2,Test_R2,Test_RMSE,Test_MAE
XGBoost (All),Lowest BSR,7581,0.12156296326731915,0.006785571467105209,0.4025567453717883,0.13994149983461746,1.6773428326064117,1.3199878452826297
Random Forest (Top),Lowest BSR,20,0.11554137628347849,0.0042561289993762515,0.7859228030768091,0.13614098078234593,1.6810447590013036,1.3103220402508209
Random Forest (All),Lowest BSR,7581,0.08573691407983201,0.0005854108809355299,0.5784480866287023,0.10351545826787223,1.7124947300994164,1.3423645194903058
XGBoost (Top),Lowest BSR,20,0.07186563391897778,0.008231758948696705,0.31047375838667013,0.09258672253854305,1.7229013284574553,1.3550433610216692
Ridge Regression (All),Lowest BSR,7581,,,0.23889107394603593,0.06361386304172312,1.7501905264868498,1.3799044776947742
Linear Regression (Top),Lowest BSR,20,,,0.02536885973824543,0.0218761340067245,1.7887710968797426,1.4118024666796611
XGBoost (All),Main BSR,7581,0.2837300883653278,0.004833816822341481,0.5363727051850278,0.3115059951408059,2.0107031012217433,1.5547809341459013
Random Forest (Top),Main BSR,20,0.2631002584947806,0.008677889455631268,0.8211374866859237,0.284457265261833,2.0498196616766644,1.5800315093360737
Random Forest (All),Main BSR,7581,0.21095177650336186,0.004231391447820664,0.7137375519165754,0.24245128895566592,2.10912902387254,1.636117657711738
XGBoost (Top),Main BSR,20,0.22018907705907487,0.007908402909683096,0.43646813192574696,0.24053931583752197,2.111788956283757,1.6344944165727586
Ridge Regression (All),Main BSR,7581,,,0.3510701687366773,0.22280031667979638,2.136309509884759,1.6630624643197969
Linear Regression (Top),Main BSR,20,,,0.08685028594343036,0.08344346091491295,2.319943971124981,1.807413561634763
