BSR_Group,Target,Feature_Set,Model,Model_Type,CV_R2_Mean,CV_R2_Std,Train_R2,Test_R2,Test_RMSE,Test_MAE,N_Samples,N_Features
Home & Kitchen,Main BSR,Top Features,Linear Regression,linear,0.036067650153446415,0.009337412704209154,0.0509667852340695,0.021759990519535144,2.18456969964973,1.6926555441887594,3771,20
Home & Kitchen,Main BSR,Top Features,Ridge,linear,0.03610606065315414,0.009278128882894613,0.05096672664281676,0.021775311575817136,2.1845525923723503,1.6926316820009308,3771,20
Home & Kitchen,Main BSR,Top Features,Random Forest,nonlinear,0.173488769686516,0.023023812329758763,0.8027711973302643,0.15787911860965342,2.0268910880714244,1.5446232136663145,3771,20
Home & Kitchen,Main BSR,Top Features,XGBoost,nonlinear,0.16128329863845,0.021254192082027966,0.7716914222321746,0.12143457606748842,2.070285539899627,1.5817622511944336,3771,20
Home & Kitchen,Main BSR,Top Features,LightGBM,nonlinear,0.15214766513575578,0.03961327024290996,0.7541705797781956,0.1287425803701907,2.06165712743536,1.5586819701914658,3771,20
Health & Household,Main BSR,Top Features,Linear Regression,linear,0.08578550753925654,0.020162261098451078,0.10113410312864324,0.08863246811483516,1.9403645867772394,1.4728055549901222,3669,20
Health & Household,Main BSR,Top Features,Ridge,linear,0.08582997315595257,0.020100352403622294,0.10113405186079005,0.08866000637082416,1.9403352711287845,1.472762348165652,3669,20
Health & Household,Main BSR,Top Features,Random Forest,nonlinear,0.1998364925176144,0.02980674654145333,0.8132989072740286,0.2680753507610235,1.738880551722189,1.3172725659449833,3669,20
Health & Household,Main BSR,Top Features,XGBoost,nonlinear,0.17627441548979628,0.04394151634101053,0.8210272208729494,0.223703082254468,1.7908140559822652,1.36309462940565,3669,20
Health & Household,Main BSR,Top Features,LightGBM,nonlinear,0.16804847439955534,0.041137418082933606,0.7919499356400619,0.21618940094511585,1.7994597195351667,1.3804684012608526,3669,20
Office Products,Main BSR,Top Features,Linear Regression,linear,0.08705137016796663,0.04805771804424857,0.10712345735253437,0.1017708800782795,1.5135037974744214,1.1925342407330792,3420,20
Office Products,Main BSR,Top Features,Ridge,linear,0.08707728657106062,0.048044881368048874,0.10712343127654922,0.10176620604689002,1.513507735308821,1.1925333804917553,3420,20
Office Products,Main BSR,Top Features,Random Forest,nonlinear,0.1672769528735794,0.03395941373074439,0.7954747574908428,0.12120560049172369,1.497040639147585,1.166002060581211,3420,20
Office Products,Main BSR,Top Features,XGBoost,nonlinear,0.13579123486218314,0.059457881279173966,0.7896971992958396,0.09175024792850084,1.5219226964632013,1.1789301296207126,3420,20
Office Products,Main BSR,Top Features,LightGBM,nonlinear,0.12056377539210887,0.0660591115230086,0.7603491157069687,0.06068159104785087,1.547734155154561,1.2079969894297031,3420,20
Baby,Main BSR,Top Features,Linear Regression,linear,0.05577209672664489,0.028309545880259916,0.0719203382181518,0.04368593181721159,1.6016935740469942,1.2712967866924028,2902,20
Baby,Main BSR,Top Features,Ridge,linear,0.055799312154376036,0.028301838809423167,0.07192017027705533,0.04371525119138864,1.6016690209139175,1.2712621998625502,2902,20
Baby,Main BSR,Top Features,Random Forest,nonlinear,0.11685424850076187,0.04759717394684557,0.7830678924191533,0.10077926055464637,1.5531461278828569,1.2291364211774258,2902,20
Baby,Main BSR,Top Features,XGBoost,nonlinear,0.08956008852458472,0.054582336491590465,0.8432348859076444,0.0754681706940814,1.5748532629038234,1.2426436068814082,2902,20
Baby,Main BSR,Top Features,LightGBM,nonlinear,0.08083549601072156,0.05043767105907703,0.8113793191428774,0.026256633119227657,1.6162234995119193,1.279154623030016,2902,20
"Clothing, Shoes & Jewelry",Main BSR,Top Features,Linear Regression,linear,0.10255809314299871,0.01728719992992991,0.1276752829614317,0.09552591272959754,2.0249974988423682,1.5820277419785589,2140,20
"Clothing, Shoes & Jewelry",Main BSR,Top Features,Ridge,linear,0.1026569226397854,0.0172659725255993,0.1276751658607299,0.09567678420372971,2.0248286011903986,1.5818720332789675,2140,20
"Clothing, Shoes & Jewelry",Main BSR,Top Features,Random Forest,nonlinear,0.21861399891276512,0.017837894933581126,0.8107196015536584,0.28333644898348387,1.802536572880766,1.3587862566635327,2140,20
"Clothing, Shoes & Jewelry",Main BSR,Top Features,XGBoost,nonlinear,0.204046048315091,0.013038191112137297,0.9002072465767824,0.2833581680720002,1.8025092589843474,1.3646287921407199,2140,20
"Clothing, Shoes & Jewelry",Main BSR,Top Features,LightGBM,nonlinear,0.18602027477038965,0.021052465947173075,0.8811214184056996,0.25772193907678953,1.8344663038564981,1.3755097304860358,2140,20
Kitchen & Dining,Main BSR,Top Features,Linear Regression,linear,0.09798990070539557,0.050549552900434724,0.13496084537104103,0.06428045372675528,1.9967022546802151,1.5359503284113762,1729,20
Kitchen & Dining,Main BSR,Top Features,Ridge,linear,0.09814072815437776,0.05042210918763854,0.13496022267929442,0.06447693941426613,1.996492606386368,1.5357471185257139,1729,20
Kitchen & Dining,Main BSR,Top Features,Random Forest,nonlinear,0.20571138158402222,0.04756324105532102,0.80333736225951,0.18499212909229779,1.863465510076496,1.429777736483938,1729,20
Kitchen & Dining,Main BSR,Top Features,XGBoost,nonlinear,0.1781617596881387,0.07425860987413031,0.9172723423709641,0.2069119054308899,1.8382356010667829,1.4068078611568047,1729,20
Kitchen & Dining,Main BSR,Top Features,LightGBM,nonlinear,0.15273219789852052,0.08385486094810253,0.913204966678814,0.17700827677444175,1.8725705603792324,1.4253462999169488,1729,20
Electronics,Main BSR,Top Features,Linear Regression,linear,0.05402456324097118,0.03778195175167546,0.09824127631196844,0.07383570730201183,1.683248740888418,1.3409424886931196,1641,20
Electronics,Main BSR,Top Features,Ridge,linear,0.05442162048063026,0.037650272107668144,0.09823835222381028,0.0740318047665941,1.6830705336918834,1.3408557219334332,1641,20
Electronics,Main BSR,Top Features,Random Forest,nonlinear,0.1435272955319828,0.02497826519244306,0.7926098118273195,0.17542357973000022,1.5882531941236482,1.2554677942654509,1641,20
