BSR_Group,Target,Feature_Set,Model,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,Train_Accuracy,Test_Accuracy,Train_F1,Test_F1,Train_ROC_AUC,Test_ROC_AUC,Test_Precision,Test_Recall,N_Samples,N_Features,Class_Balance
Home & Kitchen,has_main_bsr,Top Features,LogisticRegression,0.9395182773927578,0.010921038355623088,0.8824796950107741,0.8807157057654076,0.8846591833414674,0.8817345597897503,0.9411347413287569,0.937233650113303,0.8736979166666666,0.889920424403183,7542,20,0.5
Home & Kitchen,has_main_bsr,Top Features,XGBoost,0.9613028952448539,0.004656270681148316,0.9484501906182662,0.904572564612326,0.9498467989034026,0.9074550128534704,0.9886238151799397,0.9573207792435927,0.8802992518703242,0.9363395225464191,7542,20,0.5
Home & Kitchen,has_main_bsr,Top Features,RandomForest,0.9586794773856402,0.006973030314212474,0.9544173711254765,0.9039098740888005,0.9558799935825445,0.9069916613213599,0.9928431637168337,0.9540376271365082,0.8782608695652174,0.9376657824933687,7542,20,0.5
Health & Household,has_main_bsr,Top Features,LogisticRegression,0.9589919580693562,0.003051478323649445,0.9122657580919932,0.912125340599455,0.9143522368202228,0.9132481506388702,0.960243898899785,0.9605795573506374,0.9017264276228419,0.9250681198910081,7338,20,0.5
Health & Household,has_main_bsr,Top Features,XGBoost,0.9662822250405579,0.0035879929479071043,0.9642248722316865,0.9339237057220708,0.9648476732507533,0.9349429912810194,0.9943178869834489,0.9683882870910023,0.9207397622192867,0.9495912806539509,7338,20,0.5
Health & Household,has_main_bsr,Top Features,RandomForest,0.9634810444352221,0.0030498564528647887,0.9684838160136287,0.9271117166212534,0.9692537809539638,0.9283322170127261,0.9936254277082384,0.9657637223529761,0.9130434782608695,0.944141689373297,7338,20,0.5
Office Products,has_main_bsr,Top Features,LogisticRegression,0.9775659620586474,0.0026817390739336117,0.9342105263157895,0.939327485380117,0.9345454545454546,0.9395484340859432,0.9785378674207448,0.9794039191546116,0.9361393323657474,0.9429824561403509,6840,20,0.5
Office Products,has_main_bsr,Top Features,XGBoost,0.9843346433649032,0.0032272344114176186,0.9778874269005848,0.9539473684210527,0.9780836804926644,0.9545126353790614,0.9978372084573031,0.9818961389829349,0.9429386590584878,0.966374269005848,6840,20,0.5
Office Products,has_main_bsr,Top Features,RandomForest,0.9840941894166548,0.0027480659552669407,0.9793494152046783,0.9546783625730995,0.9795178539061083,0.9552669552669553,0.9979491552956464,0.9837685099688793,0.9430199430199431,0.9678362573099415,6840,20,0.5
Baby,has_main_bsr,Top Features,LogisticRegression,0.8980129841746256,0.006457976631412777,0.8259745853973723,0.8354866494401378,0.8283042923926902,0.8385460693153001,0.9000067169360678,0.9117573743248857,0.8225538971807629,0.8551724137931035,5804,20,0.5
