feature,|r_main_pearson|,|r_lowest_pearson|,|r_main_spearman|,|r_lowest_spearman|,MI_main,MI_lowest,composite_score
clip_pca_0001,0.19670584849028963,0.07215603463487502,0.15477263703078414,0.0753843153864458,0.06322711072228682,0.021143541879678374,0.8395474647805701
height_mean,0.1044309662065145,0.07327020251256412,0.14487108187691966,0.07529934434046298,0.06923701265869653,0.016434558363223495,0.7451080924854899
aspect_ratio_mean,0.022747824007407123,0.06633733285495001,0.004543554788781496,0.06638466240825217,0.06265171728464303,0.03851645085064792,0.5747153480191775
cnn_pca_0005,0.1250103965707997,0.031504885610292334,0.11929892734391942,0.028729354333236392,0.024400776881932984,0.02065283534995288,0.48818688587452014
cnn_pca_0001,0.13354949851058034,0.022141922985044103,0.10044580654631434,0.03433601230742842,0.03567649908112269,0.01862736281542965,0.48806711982097867
width_mean,0.046361197835296256,0.016658351859241124,0.10351615255801926,0.025298340857556525,0.057584736485548405,0.02621735033400796,0.4756643671915102
cnn_pca_0002,0.08237073676616438,0.03305933030562353,0.0924359703464191,0.033289614019493166,0.029453047045969072,0.0249959558148527,0.4644992439447387
clip_pca_0004,0.007052784418753925,0.09796558461733824,0.007023516894476539,0.08988759215955908,0.013364104820360545,0.016035258282431464,0.44532687021550044
clip_pca_0007,0.11302158323846356,0.014021912689033578,0.1181597653395708,0.01907462112072885,0.03824460229092974,0.01644269289830369,0.4440730769534483
clip_pca_0005,0.045422333026322335,0.06115404410695194,0.04804935952492397,0.06252231005342455,0.02028022274781982,0.014204782206292066,0.4180053371682176
clip_pca_0000,0.11986245529216258,0.0010080708622936252,0.1206486634743367,0.0031548911837648345,0.02110132155636446,0.02682741897062968,0.40466222120962897
cnn_pca_0003,0.06432223819143694,0.045033603547073864,0.04613413931914304,0.051736655577595145,0.0197619483669893,0.018887930094422245,0.4038294407709377
white_bg_pct_mean,0.06507619464424827,0.025000577923610802,0.06420346969499056,0.020063440081517805,0.03836170046305831,0.02367127895978527,0.3966144801487679
cnn_pca_0006,0.09248764706618962,0.03176271758348435,0.10622809291999602,0.026273963961381878,0.020681238389413714,0.008984756818329664,0.3824830355353053
clip_pca_0006,0.04751062336297798,0.04319643868048726,0.047840118174809806,0.04363082457205164,0.02527294051497453,0.015575892814608139,0.3719453887040245
exposure_clipped_high_pct_mean,0.07729093666601514,0.01748401813741638,0.06953888172119017,0.010682443274644808,0.035736433686085256,0.022509639539398663,0.37137177372155455
clip_pca_0002,0.10289701805923798,0.00145247159955057,0.11228707758120406,0.003949877960069134,0.02971075992136729,0.01885694711538477,0.3694781784663131
clip_pca_0008,0.06863469801984902,0.03968395393317436,0.05660479032232237,0.03376264236404867,0.018603414671535035,0.017918862930044632,0.3694244726527662
filesize_kb_mean,0.08092498953999369,0.01760397331339705,0.08773609716451312,0.022530333159475422,0.026205178419512087,0.01484670995823656,0.3601994936902393
exposure_clipped_low_pct_mean,0.04098134727594433,0.045377623778375724,0.06992495810230986,0.03494815832831022,0.028638153986872972,0.009537420589766477,0.3597088027587172
brightness_std_mean,0.07920265300269369,0.022396934291350496,0.06857144833211427,0.02531387815166829,0.024600768676521056,0.017225350503130343,0.35779720089371003
contrast_mean,0.07920265300269369,0.022396934291350496,0.06857144833211427,0.02531387815166829,0.024598239669382238,0.017221035064854284,0.3577724395204051
clip_pca_0003,0.06232992740396786,0.022759789852209687,0.05763374108190244,0.019616762084489692,0.024095723236754907,0.02010990337968188,0.3327691716153024
bg_uniformity_mean,0.08536871523598952,0.008834099817346532,0.07353383906285064,0.010278829903495084,0.0284637920131372,0.016593374114526327,0.3240728994832795
det_conf_max_mean,0.05561872924622288,0.03198175461571438,0.051381660381007555,0.033146356901291266,0.020468510202978685,0.012422895870471962,0.31902491694426066
saturation_std_mean,0.0493347787122171,0.01919423605869908,0.04944698133535733,0.020480789371993612,0.026937363090078215,0.02063412304113399,0.3173767477824306
det_main_box_center_dist_mean,0.05660581643253265,0.020582317898781465,0.05928741204607906,0.016523971581201335,0.028780768582486793,0.013762126990114254,0.30398474220007404
entropy_mean,0.07415498968960299,0.014820596255845154,0.06724696543493722,0.014648918837851454,0.02146037547631252,0.014719816783965278,0.3009458659336872
cnn_pca_0009,0.04068542361410248,0.024499852980938708,0.06335844664221771,0.027093474764541416,0.025398993391910984,0.01082223331804677,0.30004561567463844
det_conf_mean_mean,0.05107399468056319,0.032858502525017444,0.047069210005879894,0.03262732491612725,0.015615277733612487,0.011363741629872415,0.29471851696442936
saturation_mean_mean,0.05159129448857822,0.014563753159583007,0.07003721647264646,0.023359494212379373,0.015732430490753124,0.01496344363270996,0.28747345385639084
cnn_pca_0004,0.03029935476158562,0.025225071249762337,0.027046671009631706,0.026773884939942538,0.02074676221327465,0.01986517739722604,0.28050645548811065
brightness_mean_mean,0.03641105484169431,0.027776524380071964,0.021126106730566453,0.02910130740161575,0.019782966937222035,0.0186526412821566,0.2804845966948322
cnn_pca_0000,0.028894395219532857,0.021932380478742276,0.02829893269721792,0.02521882354379236,0.017154224613566527,0.021021021786252092,0.26851217006983746
colorfulness_mean,0.04291555817048705,0.0094303100198605,0.06355081048055858,0.0009131760020598857,0.016225367223134057,0.024055172714036566,0.2631661947912783
clip_pca_0009,0.05503255209556916,0.0015191128259298345,0.06917470200359953,0.015200344968817966,0.021535653452033898,0.013801020681257548,0.2611252129756141
sharpness_laplacian_var_mean,0.020838098176419025,0.013126081150719606,0.05490686718790783,0.009293380940041715,0.023774298505321312,0.020437425776263396,0.2591483411304957
cnn_pca_0007,0.04963867825859935,0.008829339136132888,0.05174997773285048,0.00011293462663466797,0.02084240653295666,0.019262715465659497,0.2441107660580367
cnn_pca_0008,0.019629338190443726,0.026375192283159002,0.007032737153764264,0.02720002675866978,0.022673636498119265,0.014369859424407494,0.23332932135928122
det_num_objects_mean,0.039174169754932306,0.006865085607344167,0.05509539160139304,0.027068097887640245,0.02008533382304778,0.007551810133580972,0.23283623590797817
saliency_center_dist_mean,0.03680358465730619,0.01480440069492162,0.031954106144755585,0.008112627236988098,0.02071927750586866,0.01725553609819208,0.22771406019317866
clip_cnn_cos_sim,0.007963274220121316,0.033996420831771824,0.008698656718643493,0.03161527968744976,0.013232167556762597,0.011615104996248071,0.21157068066908877
