,bsr_best,sd_price,sd_list_price,sd_previous_price,sd_number_bought_past_month,sd_average_rating,sd_total_reviews,sd_ratings_count,sd_stars,sd_rating_pct_1,sd_rating_pct_2,sd_rating_pct_3,sd_rating_pct_4,sd_rating_pct_5
0,6.0,,,,10000000.0,,,,,,,,,
1,8.0,89.95,89.95,89.95,8000000.0,4.5,,,4.5,4.0,2.0,6.0,12.0,76.0
2,1.0,29.95,29.95,49.95,10000000.0,4.5,,,4.5,4.0,2.0,5.0,13.0,76.0
3,3.0,119.0,119.0,129.0,10000000.0,4.5,,,,6.0,2.0,4.0,10.0,78.0
4,10.0,,,,8000000.0,,,,,,,,,
5,31.0,22.99,22.99,,6000000.0,4.9,1026.0,1026.0,4.9,1.0,0.0,2.0,2.0,95.0
6,19.0,,,,,4.5,991.0,991.0,4.5,6.0,3.0,3.0,3.0,85.0
7,6.0,,,,10000000.0,4.5,,,4.5,4.0,2.0,6.0,14.0,74.0
8,1.0,34.99,34.99,59.99,10000000.0,4.5,,,4.5,4.0,2.0,6.0,15.0,73.0
9,27.0,,,,,4.1,217.0,217.0,4.1,13.0,3.0,7.0,12.0,65.0
10,20.0,,,,6000000.0,4.6,,,4.6,4.0,2.0,5.0,9.0,80.0
11,13.0,,,,6000000.0,,,,,,,,,
12,6.0,18.99,18.99,28.99,10000000.0,4.5,,,4.5,4.0,2.0,6.0,15.0,73.0
13,20.0,159.99,159.99,,10000000.0,4.4,,,4.4,5.0,3.0,7.0,14.0,71.0
14,41.0,17.99,17.99,219.99,5000000.0,4.2,676.0,676.0,4.2,11.0,2.0,6.0,11.0,70.0
15,34.0,149.95,149.95,149.95,3000000.0,4.5,,3126.0,4.5,5.0,3.0,6.0,11.0,75.0
16,10.0,,,,10000000.0,,,,,,,,,
17,46.0,19.99,19.99,28.99,6000000.0,4.3,,,4.3,6.0,4.0,7.0,16.0,67.0
18,4.0,69.99,69.99,,7000000.0,4.3,307.0,307.0,4.3,8.0,4.0,7.0,10.0,71.0
19,26.0,16.14,16.14,29.99,5000000.0,4.6,,,4.6,3.0,2.0,5.0,13.0,77.0
20,13.0,12.97,12.97,19.99,10000000.0,4.3,,,4.3,5.0,4.0,8.0,16.0,67.0
21,7.0,,,,8000000.0,4.5,,,,5.0,3.0,4.0,9.0,79.0
22,31.0,14.99,14.99,19.99,4000000.0,4.5,,,4.5,3.0,2.0,5.0,15.0,75.0
23,1.0,23.49,23.49,49.99,10000000.0,4.4,,,4.4,5.0,3.0,6.0,15.0,71.0
24,63.0,21.84,21.84,22.99,5000000.0,4.3,,,4.3,9.0,3.0,6.0,11.0,71.0
25,4.0,129.95,129.95,,5000000.0,4.5,,,4.5,4.0,2.0,5.0,11.0,78.0
26,94.0,59.0,59.0,79.99,3000000.0,4.2,,,,9.0,4.0,8.0,12.0,67.0
27,,179.99,179.99,209.99,2000000.0,4.4,,,4.4,8.0,3.0,5.0,10.0,74.0
28,217.0,,,,1000000.0,,,,,,,,,
29,18.0,25.96,25.96,49.99,10000000.0,4.4,,,4.4,6.0,3.0,7.0,13.0,71.0
30,2.0,18.97,18.97,28.99,10000000.0,4.5,,,4.5,4.0,2.0,6.0,15.0,73.0
31,61.0,99.95,99.95,99.95,5000000.0,4.0,,,4.0,12.0,6.0,7.0,13.0,62.0
32,47.0,9.99,9.99,14.99,7000000.0,4.4,,,4.4,5.0,3.0,6.0,15.0,71.0
33,16.0,25.99,25.99,39.99,10000000.0,4.4,,,4.4,5.0,3.0,6.0,15.0,71.0
34,21.0,149.99,149.99,169.95,10000000.0,4.1,,,,12.0,5.0,8.0,12.0,63.0
35,1.0,29.99,29.99,48.99,6000000.0,4.3,,,4.3,8.0,4.0,7.0,12.0,69.0
36,72.0,,,,2000000.0,,,,,,,,,
37,121.0,96.0,96.0,104.99,1000000.0,4.5,,,4.5,4.0,3.0,6.0,13.0,74.0
38,44.0,19.99,19.99,24.99,7000000.0,4.3,,,4.3,5.0,4.0,8.0,17.0,66.0
39,9.0,29.99,29.99,55.99,10000000.0,4.3,,,4.3,6.0,4.0,8.0,17.0,65.0
40,28.0,,,,,4.5,,,4.5,5.0,2.0,4.0,14.0,75.0
41,23.0,26.99,26.99,,10000000.0,4.3,,,4.3,7.0,3.0,7.0,14.0,69.0
42,479.0,25.99,25.99,86.99,,4.5,178.0,,,,,,,
43,59.0,,,,1000000.0,,,,,,,,,
44,55.0,29.99,29.99,,6000000.0,4.0,,,4.0,11.0,6.0,8.0,15.0,60.0
45,43.0,24.99,24.99,,6000000.0,4.4,,,4.4,6.0,3.0,6.0,14.0,71.0
46,1.0,44.99,44.99,49.99,2000000.0,4.4,,,4.4,5.0,3.0,7.0,15.0,70.0
47,3.0,39.96,39.96,49.99,4000000.0,4.4,2472.0,2472.0,4.4,7.0,4.0,6.0,11.0,72.0
48,35.0,25.99,25.99,49.99,10000000.0,4.4,,,4.4,6.0,4.0,7.0,13.0,70.0
49,62.0,,,,4000000.0,,,,,,,,,
50,15.0,,,,7000000.0,4.6,,,4.6,5.0,2.0,4.0,9.0,80.0
51,106.0,44.25,44.25,69.99,3000000.0,4.3,1958.0,1958.0,4.3,6.0,4.0,7.0,14.0,69.0
52,157.0,18.99,18.99,27.99,2000000.0,4.4,2560.0,2560.0,4.4,6.0,3.0,6.0,16.0,69.0
53,23.0,15.98,15.98,19.99,5000000.0,4.6,2045.0,2045.0,4.6,3.0,1.0,3.0,12.0,81.0
54,14.0,19.99,19.99,39.99,10000000.0,4.4,,,4.4,5.0,3.0,6.0,15.0,71.0
55,18.0,18.99,18.99,19.99,5000000.0,4.4,,,,,,,,
56,39.0,,,,,4.4,1880.0,1880.0,4.4,7.0,2.0,4.0,11.0,76.0
57,32.0,,,,9000000.0,,,,,,,,,
58,41.0,24.99,24.99,36.99,3000000.0,4.6,,,4.6,3.0,1.0,4.0,13.0,79.0
59,79.0,9.98,9.98,,5000000.0,4.3,,,4.3,7.0,4.0,6.0,13.0,70.0
60,149.0,25.99,25.99,,2000000.0,4.3,,3128.0,4.3,7.0,4.0,8.0,15.0,66.0
61,280.0,,,,,4.1,,,4.1,11.0,6.0,8.0,14.0,61.0
62,60.0,71.99,71.99,79.99,6000000.0,4.3,,,4.3,7.0,4.0,7.0,15.0,67.0
63,409.0,,,,,,,,,,,,,
64,499.0,29.99,29.99,,,4.1,,,4.1,8.0,6.0,11.0,15.0,60.0
